"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 16 10:34:47 BRT 2023","Wed Aug 16 10:35:06 BRT 2023","18765","","template spec","","template spec","passes","passes",""
"passed","Wed Aug 16 16:31:46 BRT 2023","Wed Aug 16 16:31:46 BRT 2023","492","","Validations API Rest","","Validations API Rest","First Test and validation API Rest","First Test and validation API Rest",""
